i,contr?,nome,razão social,cnpj,Receita líquida pela Valor (milhões de reias),Receita líquida pela Economatica (milhões de reias),“Poder” indireto (das empresas em que i tem participação),“Poder” total (receita da empresa i + valor indireto),Indicador,Fonte,Poder direto - controle,Poder direto - parcial,Poder indireto - controle,Poder indireto - parcial,Composição acionária direta,Estatal ou Privada?
363,sim,CEB,,'00070698000111',1377.60,1377.62,-,1377.62,0.00,Economatica,"","","","",Sec de Est de Faz do Distrito Federal (89.34%),
363,"",Sec de Est de Faz do Distrito Federal,Sec de Est de Faz do Distrito Federal,'',-,-,1377.62,1377.62,0.00,Economatica associado,CEB (89.34%),"","","","",
364,"",Schneider,,'',1375.20,-,-,1375.20,0.00,Valor,"","","","","",
365,"",TRW Automotive,,'',1373.40,-,-,1373.40,0.00,Valor,"","","","","",
366,"",Lojas Y. Yamada,,'',1363.90,-,-,1363.90,0.00,Valor,"","","","","",
367,"",Refinaria de Manguinhos,,'',1361.80,-,-,1361.80,0.00,Valor,"","","","","",
368,"",Holcim,,'',1354.90,-,-,1354.90,0.00,Valor,"","","","","",
369,"",Cia Hering,,'78876950000171',-,1353.23,-,1353.23,0.00,Economatica,"","","","","Invest Particip Inpasa S/A (7.34%)
Ivo Hering (7.17%)
Blackrock, Inc (5.44%)",
370,"",Hering,,'',1353.20,-,-,1353.20,0.00,Valor,"","","","","",
371,"",Dimed,,'92665611000177',-,1345.63,-,1345.63,0.00,Economatica,"","","","","Julio Ricardo Andrighetto Mottin (12.14%)
Beatriz Simon Pizzato (6.55%)
Fundo de Investimento em Acoes Ip Selecao (6.49%)
Elizabeth Weber Taylor (5.71%)
Roberto Luiz Weber (5.70%)
Geraldo Otto Weber (5.55%)
Martha Weber Luce (5.43%)
Francisco Angelo Mottin (4.31%)
Nelson de Alvarenga Mariano da Rocha (3.21%)
Ip Particip Master FIA Bdr Nivel I (3.12%)",
372,"",Panvel Farmácias,,'',1345.60,-,-,1345.60,0.00,Valor,"","","","","",
373,"",Supermix,,'',1340.90,-,-,1340.90,0.00,Valor,"","","","","",
374,"",Rubens Menin Teixeira de Souza,Rubens Menin Teixeira de Souza,'',-,-,1338.44,1338.44,0.00,Economatica associado,"",Mrv (33.34%),"","","",
375,sim,CPFL Geracao,,'03953509000147',-,1335.79,-,1335.79,0.00,Economatica,"","","","",CPFL Energia (100.00%),
375,sim,Enersul,,'15413826000150',-,1334.60,-,1334.60,0.00,Economatica,"","","","","Rede Energia (60.16%)
Rede Power do Brasil S.A. (39.77%)",
375,"",Lojas Colombo,,'',1324.40,-,-,1324.40,0.00,Valor,"","","","","",
376,"",Semp Toshiba Amazonas,Semp Toshiba Amazonas S/A,'',1323.00,-,-,1323.00,0.00,Valor,Semp (91.87%),"","","","",
377,"",Eurofarma,,'',1319.10,-,-,1319.10,0.00,Valor,"","","","","",
378,"",Banco Original SA,Banco Original SA,'',-,-,1317.44,1317.44,0.00,Economatica associado,"",JBS (2.13%),"","","",
379,"",Cooperativa Integrada,,'',1316.20,-,-,1316.20,0.00,Valor,"","","","","",
380,"",Copacol,,'',1314.00,-,-,1314.00,0.00,Valor,"","","","","",
381,"","Wilson, Sons",,'',1309.40,-,-,1309.40,0.00,Valor,"","","","","",
382,"",Whirlpool Canada Holding Co.,Whirlpool Canada Holding Co.,'',-,-,1301.02,1301.02,0.00,Economatica associado,"",Brasmotor (39.40%),"","Brasmotor => {Whirlpool (44.23%, final=17.43%)}","",
383,"",São Martinho 1,,'',1295.00,-,-,1295.00,0.00,Valor,"","","","","",
384,"",Fundo de Investimento em Participacoes da Serra,Fundo de Investimento em Participacoes da Serra,'',-,-,1286.97,1286.97,0.00,Economatica associado,Joao Fortes (58.87%),Energisa (22.52%),"","Energisa => {F Cataguazes (100.00%, final=22.52%)}","",
385,"",Gif3 Li-2 Llc,Gif3 Li-2 Llc,'',-,-,1280.84,1280.84,0.00,Economatica associado,"",Lojas Americ (12.56%),"","","",
386,"",Totvs,Totvs,'53113791000122',1279.20,1279.16,-,1279.16,0.00,Economatica,Datasul (100.00%),"","","","Lc Eh Part. e Empreendimentos S/A (16.78%)
Petros - Fund. Petrobras de Seg. Social (10.06%)
Laercio Jose de Cosentino (1.11%)
HG Senta Pua (Credit Suisse Corr) (0.03%)
Ernesto Mario Haberkorn (0.01%)",
387,"",Osi International Holding Limited,Osi International Holding Limited,'',-,-,1277.75,1277.75,0.00,Economatica associado,"",Marfrig (5.82%),"","Marfrig => {Excelsior (53.89%, final=3.14%)}","",
388,"","Templeton Asset Management, Ltd","Templeton Asset Management, Ltd",'',-,-,1270.93,1270.93,0.00,Economatica associado,"","JSL (6.86%)
Marfrig (5.04%)","","Marfrig => {Excelsior (53.89%, final=2.71%)}","",
389,"",Votorantim Metais Zinco,,'',1269.40,-,-,1269.40,0.00,Valor,"","","","","",
390,"",Castrolanda,,'',1258.90,-,-,1258.90,0.00,Valor,"","","","","",
391,"",Utc,,'',1258.50,-,-,1258.50,0.00,Valor,"","","","","",
392,"",Votorantim Metais,,'',1256.00,-,-,1256.00,0.00,Valor,"","","","","",
393,"",Lisis Participacoes S/A,Lisis Participacoes S/A,'',-,-,1252.81,1252.81,0.00,Economatica associado,"",Natura (22.41%),"","","",
394,"",Copagaz,,'',1249.30,-,-,1249.30,0.00,Valor,"","","","","",
395,"",Mendes Júnior Trading,,'',1248.70,-,-,1248.70,0.00,Valor,"","","","","",
396,sim,Multiplus,,'11094546000175',-,1246.81,-,1246.81,0.00,Economatica,"","","","","TAM (73.14%)
Squadra Investimentos - Gestao de Recursos Ltda (1.35%)",
396,"",Grupo Orsa,,'',1243.10,-,-,1243.10,0.00,Valor,"","","","","",
397,"",Camargo Correa Invest. em Infra Estrutur,Camargo Correa Invest. em Infra Estrutur,'',-,-,1242.82,1242.82,0.00,Economatica associado,"","CCR (15.24%)
VBC Energia (7.25%)","","VBC Energia => {CPFL Energia => {CPFL Piratininga (100.00%, final=1.85%), CPFL Geracao (100.00%, final=1.85%), Paul F Luz (100.00%, final=1.85%), Rio Gde Ener (100.00%, final=1.85%)}}","",
398,"",Vipal,,'',1233.20,-,-,1233.20,0.00,Valor,"","","","","",
399,"",Anhanguera Educacional,,'',1232.20,-,-,1232.20,0.00,Valor,"","","","","",
400,"",Anhanguera,,'04310392000146',-,1232.17,-,1232.17,0.00,Economatica,"","","","","Fundo de Educacao Para O Brasil FIP (17.26%)
Fmr Llc(Fidelity) (5.37%)
Manneng & Napier Advisors, Inc (5.12%)
Acoes em Tesouraria (1.19%)",
401,"",Coopavel,,'',1229.90,-,-,1229.90,0.00,Valor,"","","","","",
402,"",Alusa Engenharia,,'',1228.10,-,-,1228.10,0.00,Valor,"","","","","",
403,"",J. Macêdo,,'',1227.00,-,-,1227.00,0.00,Valor,"","","","","",
404,"",Alupar,,'',1224.50,-,-,1224.50,0.00,Valor,"","","","","",
405,"",ARG,,'',1219.50,-,-,1219.50,0.00,Valor,"","","","","",
406,"",Cenibra,,'',1219.40,-,-,1219.40,0.00,Valor,"","","","","",
407,"",Norsa,,'',1218.50,-,-,1218.50,0.00,Valor,"","","","","",
408,"",Cooperalfa,,'',1217.00,-,-,1217.00,0.00,Valor,"","","","","",
409,"",Líder 2,,'',1213.10,-,-,1213.10,0.00,Valor,"","","","","",
410,"",Mineração Maracá,,'',1207.70,-,-,1207.70,0.00,Valor,"","","","","",
411,"",Kinross Brasil,,'',1197.50,-,-,1197.50,0.00,Valor,"","","","","",
412,"",Utopia Participacoes S/A,Utopia Participacoes S/A,'',-,-,1195.50,1195.50,0.00,Economatica associado,"",Natura (21.38%),"","","",
413,"",Agrária,,'',1188.60,-,-,1188.60,0.00,Valor,"","","","","",
414,"",Tambasa Atacadistas,,'',1186.60,-,-,1186.60,0.00,Valor,"","","","","",
415,sim,Helbor,,'49263189000102',1178.50,1178.53,-,1178.53,0.00,Economatica,"","","","","Part Ind Henrique Borenstein Via A Contr Helio Borenstein SA (117.65%)
Dynamo Administracao de Recursos Ltda (28.44%)
Henrique Borenstein (25.86%)
Credit Suisse Hedging-Griffo C. V. S/A (16.76%)
Part Ind Maria C Borenstein Via A Contr Helio Borenstein SA (16.12%)",
415,"",Part Ind Henrique Borenstein Via A Contr Helio Borenstein SA,Part Ind Henrique Borenstein Via A Contr Helio Borenstein SA,'',-,-,1178.53,1178.53,0.00,Economatica associado,Helbor (117.65%),"","","","",
416,"",Fundacao Atlantico de Seg. Social,Fundacao Atlantico de Seg. Social,'',-,-,1177.29,1177.29,0.00,Economatica associado,"",Jereissati (11.49%),"","Jereissati => {La Fonte Tel => {Iguatemi (0.91%, final=0.08%)}}","",
417,"",Arcom,,'',1173.30,-,-,1173.30,0.00,Valor,"","","","","",
418,"",Suspensys,,'',1168.40,-,-,1168.40,0.00,Valor,"","","","","",
419,"",Silver King Participacoes Ltda.,Silver King Participacoes Ltda.,'',-,-,1167.46,1167.46,0.00,Economatica associado,"",Tarpon Inv (43.72%),"","Tarpon Inv => {Cremer (43.04%, final=18.81%), Direcional (15.12%, final=6.61%), BRF Foods => {Sadia S/A. (10.27%, final=0.36%)}}","",
420,"",Ing Insurance International BV,Ing Insurance International BV,'',-,-,1154.79,1154.79,0.00,Economatica associado,"",Sul America (12.91%),"","Sul America => {Sul Amer Nac => {D F Vasconc (0.17%, final=0.01%)}}","",
421,"",Andrade Gutierrez Participacoes S/A,Andrade Gutierrez Participacoes S/A,'',-,-,1153.26,1153.26,0.00,Economatica associado,AGconcessoes (76.48%),"","","","",
422,sim,AGconcessoes,,'03601314000138',-,1153.26,-,1153.26,0.00,Economatica,"","","","","Andrade Gutierrez Participacoes S/A (76.48%)
AG Invest FIP (13.85%)
IFC International Finance Corporation (9.65%)",
422,"",Estacio Part,,'08807432000110',-,1148.44,-,1148.44,0.00,Economatica,"","","","","Private Equity Partners C, Llc (18.61%)
Oppenheimer Funds Inc. (11.72%)
Findllay Park Partners Llp (5.18%)
Alliance Bernstein L.P. (5.17%)
Pollux Acoes FIA (5.17%)
Jgp Gestao Patrimonial (5.05%)
Administradores e Conselheiros (0.57%)
Gpcp4 FIP (0.52%)
Acoes em Tesouraria (0.31%)",
423,"",Estácio Participações,,'',1148.40,-,-,1148.40,0.00,Valor,"","","","","",
424,"",Servimed,,'',1148.20,-,-,1148.20,0.00,Valor,"","","","","",
425,"",Hospital Santa Catarina,,'',1143.20,-,-,1143.20,0.00,Valor,"","","","","",
426,"",Metso,,'',1133.70,-,-,1133.70,0.00,Valor,"","","","","",
427,"",Algar Agroalimentar,,'',1132.50,-,-,1132.50,0.00,Valor,"","","","","",
428,"",Integritas Participacoes S.A.,Integritas Participacoes S.A.,'',-,-,1125.74,1125.74,0.00,Economatica associado,Fleury (52.73%),"","","","",
429,sim,Fleury,,'60840055000131',-,1125.74,-,1125.74,0.00,Economatica,"","","","","Integritas Participacoes S.A. (52.73%)
Delta Fm&B FIP (11.25%)
Capital Research & Mngmt Co (6.06%)
T. Rowe Price Associates, Inc. (5.19%)",
429,"",Fleury Medicina e Saúde,,'',1125.70,-,-,1125.70,0.00,Valor,"","","","","",
430,"",Santos Brasil Part.,,'',1124.70,-,-,1124.70,0.00,Valor,"","","","","",
431,"",Santos Brp,,'02762121000104',-,1124.67,-,1124.67,0.00,Economatica,"","","","","International Markets Investments C (32.66%)
Pw237 Participacoes S/A (30.03%)
Multi Sts Participacoes S/A (14.90%)
Brasil Terminais S/A (11.50%)
BNY Mellon ARX Investimentos Ltda (1.31%)
Opp I Fundo de Investimento em Acoes (0.72%)
BTG Pactual Asset Management S.A. Dtvm (0.59%)
Rk Exclusivo Fundo de Investimento em Acoes (0.56%)
Richard Klien (0.25%)",
432,"",Nevaldo Rocha,Nevaldo Rocha,'',-,-,1123.29,1123.29,0.00,Economatica associado,"",Guararapes (36.88%),"","","",
433,"",Café Iguaçu,,'',1115.30,-,-,1115.30,0.00,Valor,"","","","","",
434,"",CPM Braxis,,'',1115.30,-,-,1115.30,0.00,Valor,"","","","","",
435,sim,Iguacu Cafe,,'76255926000190',-,1115.29,-,1115.29,0.00,Economatica,"","","","","Marubeni Corporation (78.53%)
Marubeni Brasil S/A (3.40%)
Mcap Poland Fundo de Investimento em Acoes (2.56%)
Luiz Alves Paes de Barros (0.07%)
Eduardo Duvivier Neto (0.05%)",
435,"",Marubeni Corporation,Marubeni Corporation,'',-,-,1115.29,1115.29,0.00,Economatica associado,Iguacu Cafe (78.53%),"","","","",
436,"",Amsted Maxion,,'',1110.90,-,-,1110.90,0.00,Valor,"","","","","",
437,sim,Sao Martinho,,'51466860000156',-,1107.52,-,1107.52,0.00,Economatica,"","","","","Ljn Participacoes S.A. (56.31%)
Luiz Olavo Batista (1.07%)
Acoes em Tesouraria (0.63%)
Joao Guilherme Sabino Ometto (0.11%)
Nelson Marques Ferreira Ometto (0.00%)
Marcelo Campos Ometto (0.00%)
Joao Carvalho do Val (0.00%)
Luiz Antonio Cero Ometto (0.00%)
Murilo Cesar Lemos Dos Santos Passo (0.00%)",
437,"",Ljn Participacoes S.A.,Ljn Participacoes S.A.,'',-,-,1107.52,1107.52,0.00,Economatica associado,Sao Martinho (56.31%),"","","","",
438,"",Oppenheimer Funds Inc.,Oppenheimer Funds Inc.,'',-,-,1107.17,1107.17,0.00,Economatica associado,"","Estacio Part (11.72%)
Embraer (8.61%)
BMF Bovespa (5.34%)
Kroton (1.45%)","","","",
439,"",Distribuidora Automotiva,,'',1105.00,-,-,1105.00,0.00,Valor,"","","","","",
440,"",Prysmian,,'',1091.10,-,-,1091.10,0.00,Valor,"","","","","",
441,"",SAP,,'',1085.80,-,-,1085.80,0.00,Valor,"","","","","",
442,"",MPE Engenharia,,'',1081.40,-,-,1081.40,0.00,Valor,"","","","","",
443,"",Yoki,,'',1078.60,-,-,1078.60,0.00,Valor,"","","","","",
444,"",Bahiagás,,'',1078.30,-,-,1078.30,0.00,Valor,"","","","","",
445,"",Clariant,,'',1075.90,-,-,1075.90,0.00,Valor,"","","","","",
446,"",Bhp Billiton,,'',1074.50,-,-,1074.50,0.00,Valor,"","","","","",
447,"",Direcional,,'16614075000100',-,1072.31,-,1072.31,0.00,Economatica,"","","","","Filadelphia Participacoes S.A. (47.29%)
Tarpon Inv (15.12%)
Government Of Singapore Investment Corporation Pte Ltd (7.07%)
Ridgecrest Llc (6.95%)
Acoes em Tesouraria (1.08%)",
448,"",Direcional Engenharia,,'',1072.30,-,-,1072.30,0.00,Valor,"","","","","",
449,"",Vicunha,,'',1071.00,-,-,1071.00,0.00,Valor,"","","","","",
450,"",Textilia S/A,Textilia S/A,'',-,-,1070.96,1070.96,0.00,Economatica associado,Vicunha Text (95.23%),"","","","",
451,sim,Vicunha Text,,'07332190000193',-,1070.96,-,1070.96,0.00,Economatica,"","","","","Textilia S/A (95.23%)
Rio Purus Participacoes S.A. (2.58%)
Cfl Participacoes S.A. (1.67%)",
451,"",Digibras,,'',1068.80,-,-,1068.80,0.00,Valor,"","","","","",
452,"",Trip Linhas Aéreas,,'',1064.90,-,-,1064.90,0.00,Valor,"","","","","",
453,"",Fama Investimentos Ltda,Fama Investimentos Ltda,'',-,-,1059.21,1059.21,0.00,Economatica associado,Rodobensimob (13595.41%),"Portobello (24.65%)
Log-In (17.33%)
Grazziotin (7.80%)
Time For Fun (5.08%)
Biomm (2.51%)","","","",
454,"",Jpsul Participacoes e Repres. Coms,Jpsul Participacoes e Repres. Coms,'',-,-,1056.59,1056.59,0.00,Economatica associado,"",Jereissati (10.31%),"","Jereissati => {La Fonte Tel => {Iguatemi (0.91%, final=0.08%)}}","",
455,"",CEG Rio,,'',1055.10,-,-,1055.10,0.00,Valor,"","","","","",
456,"",Coopercitrus,,'',1052.40,-,-,1052.40,0.00,Valor,"","","","","",
457,"",Impsa Wind Power,,'',1048.70,-,-,1048.70,0.00,Valor,"","","","","",
458,"",Owens-Illinois,,'',1047.60,-,-,1047.60,0.00,Valor,"","","","","",
459,"",MMX Mineração e Metálicos,,'',1035.70,-,-,1035.70,0.00,Valor,"","","","","",
460,"",MMX Miner,,'02762115000149',-,1035.68,-,1035.68,0.00,Economatica,"","","","","Eike Fuhrken Batista (29.99%)
Wisco Brasil Investimentos em Metalurgia Ltda (16.42%)
Sk Networks Co Ltda (13.79%)
Centennial Ass Mining Fundo Llc (7.41%)
Mercatto Botafogo Mult FI (4.34%)",
461,"",Tempo Part,,'06977739000134',-,1031.62,-,1031.62,0.00,Economatica,"","","","","GP Investments, Ltd. (23.92%)
Dimas de Camargo Maia Filho (18.88%)
Tarpon Participacoes Ltda (16.19%)
Acoes em Tesouraria (9.01%)
Brasil Capital (5.70%)",
462,"",Astrazeneca,,'',1028.50,-,-,1028.50,0.00,Valor,"","","","","",
463,"",Plascar Part,,'51928174000150',-,1020.11,-,1020.11,0.00,Economatica,"","","","","Permali do Brasil Ind e Com Ltda (47.76%)
Perimeter Administracao de Recursos Ltda. (31.14%)
Acoes em Tesouraria (0.00%)",
464,"",Plascar,,'',1020.10,-,-,1020.10,0.00,Valor,"","","","","",
465,"",Grupo Virgolino de Oliveira 1,,'',1014.50,-,-,1014.50,0.00,Valor,"","","","","",
466,sim,Fer C Atlant,,'00924429000175',-,1010.27,-,1010.27,0.00,Economatica,"","","","","Vli Multimodal S.A. (100.00%)
Cpp Participacoes S/A (0.00%)",
466,"",Vli Multimodal S.A.,Vli Multimodal S.A.,'',-,-,1010.27,1010.27,0.00,Economatica associado,Fer C Atlant (100.00%),"","","","",
467,"",SLC Agricola,,'89096457000155',-,1005.64,-,1005.64,0.00,Economatica,"","","","","SLC Participacoes S/A (29.69%)
Evaux Participacoes S/A (22.07%)
Credit Suisse Hedging Griffo Asset Management S.A. (5.01%)
Blackrock, Inc (4.81%)
Acoes em Tesouraria (1.05%)",
468,"",SLC Agrícola,,'',1005.60,-,-,1005.60,0.00,Valor,"","","","","",
469,"",Brazil Pharma,,'',1000.70,-,-,1000.70,0.00,Valor,"","","","","",
470,"",BR Pharma,,'11395624000171',-,1000.66,-,1000.66,0.00,Economatica,"","","","","BTG Pactual Pharma Participacoes S.A. (24.54%)
BTG Pactual Principal Investments FIP (18.80%)
Fips Geridos Pela BTG Pactual Wm Gestao de Recursos Ltda. - Vide Item 15.7 (13.58%)
Administradores e Conselheiros (6.78%)",
471,"",Santher,,'',1000.50,-,-,1000.50,0.00,Valor,"","","","","",
472,"",Taesa,,'07859971000130',-,997.24,-,997.24,0.00,Economatica,"","","","","Fundo de Investimentos em Participacoes Coliseu - FIP Coliseu (44.11%)
Cemig Gt (42.38%)
Vinci Equities Gestora de Recursos Ltda (1.71%)",
473,"",Oleoplan,,'',980.60,-,-,980.60,0.00,Valor,"","","","","",
474,"",Jacto,,'',980.20,-,-,980.20,0.00,Valor,"","","","","",
475,"",Frimesa,,'',978.40,-,-,978.40,0.00,Valor,"","","","","",
476,"",Mexichem Brasil,,'',971.50,-,-,971.50,0.00,Valor,"","","","","",
477,"",UTE Norte Fluminense,,'',970.10,-,-,970.10,0.00,Valor,"","","","","",
478,"",Ceagro,,'',969.10,-,-,969.10,0.00,Valor,"","","","","",
479,"",Tavex Brasil Part.,,'',965.50,-,-,965.50,0.00,Valor,"","","","","",
480,"",Anglo Gold Ashanti,,'',963.80,-,-,963.80,0.00,Valor,"","","","","",
481,"",Redeflex,,'',962.00,-,-,962.00,0.00,Valor,"","","","","",
482,"",Santa Casa de S. Paulo,,'',961.80,-,-,961.80,0.00,Valor,"","","","","",
483,sim,Ger Paranap,,'02998301000181',-,958.00,-,958.00,0.00,Economatica,"","","","","Duke Energy Int. Brasil Ltda (99.06%)
Diversas Pessoas Juridicas (0.34%)",
483,"",Duke Energy Int. Brasil Ltda,Duke Energy Int. Brasil Ltda,'',-,-,958.00,958.00,0.00,Economatica associado,Ger Paranap (99.06%),"","","","",
484,"",Duke Energy,,'',958.00,-,-,958.00,0.00,Valor,"","","","","",
485,"",Leader,,'',957.60,-,-,957.60,0.00,Valor,"","","","","",
486,"",Calçados Beira Rio,,'',957.50,-,-,957.50,0.00,Valor,"","","","","",
487,"",Copebrás,,'',952.80,-,-,952.80,0.00,Valor,"","","","","",
488,sim,Battistella,,'42331462000131',948.60,948.62,-,948.62,0.00,Economatica,"","","","","Alianca Bat. A.P. e Adm. de Bens Lt (58.63%)
E.M. Marim Adm. e Part. Ltda (9.68%)",
488,"",Alianca Bat. A.P. e Adm. de Bens Lt,Alianca Bat. A.P. e Adm. de Bens Lt,'',-,-,948.62,948.62,0.00,Economatica associado,Battistella (58.63%),"","","","",
489,"",Diplomata,,'',948.20,-,-,948.20,0.00,Valor,"","","","","",
490,sim,CC Des Imob,,'67203208000189',-,946.93,-,946.93,0.00,Economatica,"","","","","Camargo Correa S/A (66.14%)
Clube de Investimento D.e.C. (4.05%)
Acoes em Tesouraria (0.05%)",
490,"",CCDI,,'',946.90,-,-,946.90,0.00,Valor,"","","","","",
491,"",Caesb,,'',946.50,-,-,946.50,0.00,Valor,"","","","","",
492,"",Teksid,,'',941.20,-,-,941.20,0.00,Valor,"","","","","",
493,"",Schahin Holding,,'',939.80,-,-,939.80,0.00,Valor,"","","","","",
494,"",WLM,,'',939.20,-,-,939.20,0.00,Valor,"","","","","",
495,sim,Wlm Ind Com,,'33228024000151',-,939.16,-,939.16,0.00,Economatica,"","","","","Sajutha-Rio Participacoes S/A (93.81%)
Maria Isabela Lemos de Moraes (0.20%)
Joao Flavio Teixeira Lemos de Moraes (0.09%)
Wilson Lemos de Moraes (0.02%)
Wilson Lemos de Moraes Junior (0.00%)",
495,"",Sajutha-Rio Participacoes S/A,Sajutha-Rio Participacoes S/A,'',-,-,939.16,939.16,0.00,Economatica associado,Wlm Ind Com (93.81%),"","","","",
496,"",Tortuga,,'',938.20,-,-,938.20,0.00,Valor,"","","","","",
497,"",AAT Brasil,,'',930.50,-,-,930.50,0.00,Valor,"","","","","",
498,"",Gran Sapore,,'',927.80,-,-,927.80,0.00,Valor,"","","","","",
499,"","T. Rowe Price Associates, Inc.","T. Rowe Price Associates, Inc.",'',-,-,927.58,927.58,0.00,Economatica associado,"","PDG Realt (10.02%)
Lojas Renner (5.57%)
Fleury (5.19%)","","","",
500,"",Termomecanica,,'',925.40,-,-,925.40,0.00,Valor,"","","","","",
501,"",Life Care Participações,,'',924.00,-,-,924.00,0.00,Valor,"","","","","",
502,"",Merck,,'',922.40,-,-,922.40,0.00,Valor,"","","","","",
503,"",Magneti Marelli Cofap,,'',915.20,-,-,915.20,0.00,Valor,"","","","","",
504,sim,JHSF Part,,'08294224000165',909.40,909.44,-,909.44,0.00,Economatica,JHSF Part (63.40%),"","","","JHSF Part (63.40%)
Fabio Roberto Chimenti Auriemo (5.68%)
Jose Auriemo Neto (5.68%)
Fundacao Vale do Rio Doce de Seg. Social - Valia (5.58%)
Acoes em Tesouraria (0.04%)",
504,"",Rme Rio Minas Energia Part. S/A,Rme Rio Minas Energia Part. S/A,'',-,-,906.50,906.50,0.00,Economatica associado,"",Light (13.03%),"","Light => {Renova (29.73%, final=3.87%)}","",
505,"",Luce Empreendimentos e Participacoes (Lepsa),Luce Empreendimentos e Participacoes (Lepsa),'',-,-,906.50,906.50,0.00,Economatica associado,"",Light (13.03%),"","Light => {Renova (29.73%, final=3.87%)}","",
506,"",Megafort,,'',904.10,-,-,904.10,0.00,Valor,"","","","","",
507,"",Promon Engenharia,,'',903.30,-,-,903.30,0.00,Valor,"","","","","",
508,"",Panasonic,,'',899.60,-,-,899.60,0.00,Valor,"","","","","",
509,"",Eucatex,,'56643018000166',942.80,899.12,-,899.12,0.00,Economatica,"","","","","Pasama Participacoes S.A (34.34%)
Granfood Ind e Comercio Ltda (7.36%)
Flavio Maluf (6.50%)
Brascorp Participacoes Ltda (6.08%)
Otavio Maluf (4.55%)
Paulo Salim Maluf (0.97%)",
510,"",Imc Holdings,,'08936792000112',-,898.61,-,898.61,0.00,Economatica,"","","","","Fundo de Investimento em Participacoes - Brasil Empreendimentos (48.79%)
Bc Gestao de Recursos Ltda (5.46%)
Acoes em Tesouraria (0.13%)",
511,"",IMC,,'',898.60,-,-,898.60,0.00,Valor,"","","","","",
512,"",Comlurb,,'',896.10,-,-,896.10,0.00,Valor,"","","","","",
513,"",Usina da Pedra,,'',892.60,-,-,892.60,0.00,Valor,"","","","","",
514,"",Zona Sul Supermercados,,'',892.30,-,-,892.30,0.00,Valor,"","","","","",
515,"",Voith Hydro,,'',890.80,-,-,890.80,0.00,Valor,"","","","","",
516,"",Egesa,,'',890.30,-,-,890.30,0.00,Valor,"","","","","",
517,"",Jorge Eduardo Saraiva,Jorge Eduardo Saraiva,'',-,-,887.47,887.47,0.00,Economatica associado,"",Saraiva Livr (46.98%),"","","",
518,"",Videolar,,'',886.00,-,-,886.00,0.00,Valor,"","","","","",
519,"",Usina Colombo,,'',883.80,-,-,883.80,0.00,Valor,"","","","","",
520,"",V-Agro,,'05799312000120',883.30,883.27,-,883.27,0.00,Economatica,"","","","","Vnt FI Mult Cred Priv (27.71%)
Helio Seibel (13.72%)
Ewz Investments Llc - Socopa Soc.Corret. (6.26%)
Bonsucex Holding Ltda (5.38%)
Salo Davi Seibel (5.02%)
Silvio Tini de Araujo (1.89%)
Mineracao Buritirama S.A. (0.65%)
Octaviano Olavo Pivetta (0.09%)",
521,"",Ruff CJ,,'',882.70,-,-,882.70,0.00,Valor,"","","","","",
522,"",Infoglobo,,'',881.60,-,-,881.60,0.00,Valor,"","","","","",
